year,round,date,team1,team2,winner,avg_beer_score,winner_beer_score,ticker,market,company,pre_5d_return,post_5d_return,post_10d_return,post_20d_return
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,ABEV,Latin America,Ambev,0.0,-4.388,-11.484,-15.681
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,ASBRF,Japan,Asahi,0.0,0.0,-2.842,-3.618
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,BUD,Global,AB InBev,0.0,-0.858,1.436,-3.118
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,CABGY,Denmark/E.Europe,Carlsberg,0.0,-3.704,-2.815,-0.741
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,CCU,Chile/S.America,Cervecerias Unidas,0.0,-6.23,-2.817,-10.075
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,HEINY,Europe,Heineken,0.0,-3.214,0.529,2.441
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,KNBWY,Japan,Kirin,0.0,-1.916,-2.697,-4.4
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,SAM,USA,Boston Beer,0.0,-4.669,-2.335,-5.342
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,STZ,Mexico,Constellation Brands,0.0,-12.009,-12.777,-13.228
2010,quarter_final,2010-07-02,Netherlands,Brazil,Netherlands,8.0,9.0,TAP,USA/Canada/England,Molson Coors,0.0,-5.419,-4.961,-6.615
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,ABEV,Latin America,Ambev,0.0,-4.388,-11.484,-15.681
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,ASBRF,Japan,Asahi,0.0,0.0,-2.842,-3.618
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,BUD,Global,AB InBev,0.0,-0.858,1.436,-3.118
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,CABGY,Denmark/E.Europe,Carlsberg,0.0,-3.704,-2.815,-0.741
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,CCU,Chile/S.America,Cervecerias Unidas,0.0,-6.23,-2.817,-10.075
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,HEINY,Europe,Heineken,0.0,-3.214,0.529,2.441
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,KNBWY,Japan,Kirin,0.0,-1.916,-2.697,-4.4
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,SAM,USA,Boston Beer,0.0,-4.669,-2.335,-5.342
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,STZ,Mexico,Constellation Brands,0.0,-12.009,-12.777,-13.228
2010,quarter_final,2010-07-02,Uruguay,Ghana,Uruguay,5.0,6.0,TAP,USA/Canada/England,Molson Coors,0.0,-5.419,-4.961,-6.615
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,ABEV,Latin America,Ambev,0.0,-4.388,-11.484,-15.681
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,ASBRF,Japan,Asahi,0.0,0.0,-2.842,-3.618
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,BUD,Global,AB InBev,0.0,-0.858,1.436,-3.118
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,CABGY,Denmark/E.Europe,Carlsberg,0.0,-3.704,-2.815,-0.741
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,CCU,Chile/S.America,Cervecerias Unidas,0.0,-6.23,-2.817,-10.075
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,HEINY,Europe,Heineken,0.0,-3.214,0.529,2.441
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,KNBWY,Japan,Kirin,0.0,-1.916,-2.697,-4.4
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,SAM,USA,Boston Beer,0.0,-4.669,-2.335,-5.342
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,STZ,Mexico,Constellation Brands,0.0,-12.009,-12.777,-13.228
2010,quarter_final,2010-07-03,Argentina,Germany,Germany,8.5,10.0,TAP,USA/Canada/England,Molson Coors,0.0,-5.419,-4.961,-6.615
